table,column,type,constraint,description
template_profile,created_at,timestamptz,NN,생성
style_prototype,prototype_id,uuid,PK,Prototype
style_prototype,template_profile_id,uuid,"FK,NN",Profile
style_prototype,prototype_key,varchar(100),NN,키
style_prototype,prototype_type,varchar(40),NN,TITLE/PARA/TABLE/...
style_prototype,source_locator_json,jsonb,NN,원본 위치
style_prototype,clone_policy_json,jsonb,NN,복제정책
style_prototype,style_fingerprint,char(64),NN,서식 지문
file_object,file_id,uuid,PK,파일
file_object,tenant_id,uuid,"FK,NN",기관
file_object,storage_key,varchar(500),"UK,NN",Object Key
file_object,original_name,varchar(500),NN,원본명
file_object,mime_type,varchar(150),NN,MIME
file_object,size_bytes,bigint,NN,크기
file_object,sha256,char(64),NN,무결성
file_object,scan_status,varchar(20),NN,PENDING/CLEAN/INFECTED
file_object,created_by,uuid,"FK,NN",등록자
file_object,created_at,timestamptz,NN,생성
export_job,export_id,uuid,PK,Export
export_job,document_id,uuid,"FK,NN",문서
export_job,revision_id,uuid,"FK,NN",Revision
export_job,format,varchar(20),NN,HWPX/PDF/DOCX
export_job,status,varchar(20),NN,QUEUED~FAILED
export_job,output_file_id,uuid,FK,결과
export_job,validation_report_id,uuid,FK,검증
export_job,requested_by,uuid,"FK,NN",요청자
export_job,created_at,timestamptz,NN,요청
export_job,finished_at,timestamptz,-,완료
validation_report,validation_report_id,uuid,PK,검증보고서
validation_report,target_type,varchar(30),NN,DOCUMENT/EXPORT
validation_report,target_id,uuid,NN,대상
validation_report,track,varchar(20),NN,A_AUTO/B_HANCOM
validation_report,status,varchar(20),NN,PASS/LIMITED/FAIL
validation_report,checks_json,jsonb,NN,검사항목
validation_report,environment_json,jsonb,NN,버전/환경
validation_report,evidence_file_id,uuid,FK,증빙
validation_report,created_at,timestamptz,NN,검증일시
situation,situation_id,uuid,PK,상황/훈련
situation,tenant_id,uuid,"FK,NN",기관
situation,mode,varchar(20),NN,LIVE/EXERCISE
situation,title,varchar(300),NN,상황명
situation,hazard_type,varchar(50),NN,재난유형
situation,status,varchar(30),NN,DRAFT~CLOSED
situation,occurred_at,timestamptz,-,발생
situation,location_text,varchar(500),-,장소
situation,current_snapshot_id,uuid,FK,현재 Snapshot
situation,version_no,int,NN,낙관잠금
situation,created_by,uuid,"FK,NN",등록자
situation,created_at,timestamptz,NN,등록
fact_source,source_id,uuid,PK,출처
fact_source,provider_code,varchar(30),NN,KMA/MOIS/SAFEKOREA/NAVER/MANUAL/T3Q
fact_source,source_type,varchar(30),NN,API/WEB/FILE/USER
fact_source,source_name,varchar(300),NN,출처명
fact_source,source_uri,text,-,원문 위치
fact_source,retrieved_at,timestamptz,NN,수집시각
fact_source,raw_file_id,uuid,FK,원문
fact_source,license_json,jsonb,-,이용조건
situation_fact,fact_id,uuid,PK,Fact
situation_fact,situation_id,uuid,"FK,NN",상황
situation_fact,fact_type,varchar(50),NN,기상/피해/통제 등
situation_fact,fact_key,varchar(120),NN,표준 Key
situation_fact,value_json,jsonb,NN,값/단위
situation_fact,source_id,uuid,"FK,NN",출처
situation_fact,observed_at,timestamptz,-,관측
situation_fact,collected_at,timestamptz,NN,수집
situation_fact,confidence,"numeric(5,4)",-,신뢰도
situation_fact,status,varchar(20),NN,CANDIDATE/CONFIRMED/REJECTED
situation_fact,version_no,int,NN,버전
fact_conflict,conflict_id,uuid,PK,충돌
fact_conflict,situation_id,uuid,"FK,NN",상황
fact_conflict,fact_key,varchar(120),NN,Key
fact_conflict,candidate_fact_ids,uuid[]/jsonb,NN,후보
fact_conflict,conflict_type,varchar(30),NN,VALUE/TIME/SOURCE
fact_conflict,status,varchar(20),NN,OPEN/RESOLVED
fact_conflict,detected_at,timestamptz,NN,탐지
conflict_resolution,resolution_id,uuid,PK,해결
conflict_resolution,conflict_id,uuid,"FK,NN",충돌
conflict_resolution,selected_fact_id,uuid,"FK,NN",채택 Fact
conflict_resolution,reason,text,NN,사유
conflict_resolution,resolved_by,uuid,"FK,NN",확정자
conflict_resolution,resolved_at,timestamptz,NN,시각
situation_snapshot,snapshot_id,uuid,PK,SituationSnapshot
situation_snapshot,situation_id,uuid,"FK,NN",상황
situation_snapshot,version_no,int,NN,버전
situation_snapshot,facts_json,jsonb,NN,불변 사실
situation_snapshot,content_hash,char(64),NN,해시
situation_snapshot,effective_at,timestamptz,NN,기준시각
situation_snapshot,supersedes_id,uuid,FK,이전
situation_snapshot,confirmed_by,uuid,"FK,NN",확정자
situation_snapshot,confirmed_at,timestamptz,NN,확정
provider_job,provider_job_id,uuid,PK,Provider Job
provider_job,situation_id,uuid,FK,상황
provider_job,provider_code,varchar(30),NN,Provider
provider_job,request_json,jsonb,NN,요청
provider_job,status,varchar(20),NN,상태
provider_job,result_count,int,NN,결과수
provider_job,error_json,jsonb,-,오류
provider_job,correlation_id,varchar(80),NN,추적
provider_job,created_at,timestamptz,NN,생성
knowledge_document,knowledge_document_id,uuid,PK,학습문서
knowledge_document,tenant_id,uuid,"FK,NN",기관
knowledge_document,situation_id,uuid,FK,상황
knowledge_document,file_id,uuid,"FK,NN",파일
knowledge_document,document_type,varchar(40),NN,매뉴얼/훈련계획/평가지침
knowledge_document,provider_document_id,varchar(150),-,UNI ID
knowledge_document,status,varchar(20),NN,UPLOADING~FAILED
knowledge_document,metadata_json,jsonb,NN,메타
knowledge_document,created_by,uuid,"FK,NN",등록자
knowledge_document,created_at,timestamptz,NN,등록
evidence_set,evidence_set_id,uuid,PK,근거집합
evidence_set,situation_id,uuid,"FK,NN",상황
evidence_set,snapshot_id,uuid,"FK,NN",검색 Snapshot
evidence_set,query_text,text,NN,질의
evidence_set,filters_json,jsonb,NN,필터
evidence_set,top_k,int,NN,Top-K
evidence_set,status,varchar(20),NN,DRAFT/LOCKED
evidence_set,content_hash,char(64),NN,해시
evidence_set,created_by,uuid,"FK,NN",생성자
evidence_set,created_at,timestamptz,NN,생성
evidence_item,evidence_item_id,uuid,PK,근거
evidence_item,evidence_set_id,uuid,"FK,NN",집합
evidence_item,knowledge_document_id,uuid,"FK,NN",문서
evidence_item,provider_chunk_id,varchar(150),-,UNI Chunk
evidence_item,rank_no,int,NN,순위
evidence_item,score,"numeric(8,6)",-,유사도
evidence_item,quote_text,text,NN,근거문
evidence_item,source_locator_json,jsonb,NN,페이지/청크
evidence_item,citation_key,varchar(80),NN,인용키
sop,sop_id,uuid,PK,SOP
sop,tenant_id,uuid,"FK,NN",기관
sop,situation_id,uuid,FK,상황
sop,title,varchar(300),NN,명칭
sop,hazard_type,varchar(50),NN,재난유형
sop,status,varchar(30),NN,DRAFT~RETIRED
sop,current_version_id,uuid,FK,현재 버전
sop,created_by,uuid,"FK,NN",작성자
sop,created_at,timestamptz,NN,생성
sop_version,sop_version_id,uuid,PK,SOP 버전
sop_version,sop_id,uuid,"FK,NN",SOP
sop_version,version_no,int,NN,버전
sop_version,status,varchar(20),NN,DRAFT/LOCKED
sop_version,graph_hash,char(64),NN,그래프 해시
sop_version,source_snapshot_id,uuid,FK,SituationSnapshot
sop_version,source_evidence_set_id,uuid,FK,근거
sop_version,schema_version,varchar(20),NN,Schema
sop_version,approved_by,uuid,FK,승인자
sop_version,approved_at,timestamptz,-,승인
sop_node,node_id,uuid,PK,노드
sop_node,sop_version_id,uuid,"FK,NN",버전
sop_node,node_key,varchar(80),NN,안정 Key
sop_node,node_type,varchar(20),NN,START/ACTION/DECISION/NOTE/END
sop_node,title,varchar(300),NN,제목
sop_node,config_json,jsonb,NN,임무/완료조건/전파
sop_node,position_x,"numeric(10,2)",-,Canvas X
sop_node,position_y,"numeric(10,2)",-,Canvas Y
sop_node,sort_order,int,-,정렬
sop_edge,edge_id,uuid,PK,Edge
sop_edge,sop_version_id,uuid,"FK,NN",버전
sop_edge,from_node_id,uuid,"FK,NN",출발
sop_edge,to_node_id,uuid,"FK,NN",도착
sop_edge,condition_expr,text,-,분기식
sop_edge,condition_schema,jsonb,-,파라미터
sop_edge,priority,int,NN,우선순위
sop_edge,label,varchar(100),-,표시명
sop_validation,validation_id,uuid,PK,검증
sop_validation,sop_version_id,uuid,"FK,NN",버전
sop_validation,status,varchar(20),NN,PASS/FAIL
sop_validation,errors_json,jsonb,NN,오류
sop_validation,warnings_json,jsonb,NN,경고
sop_validation,validator_version,varchar(30),NN,검증기 버전
sop_validation,validated_by,uuid,FK,사용자/시스템
sop_validation,validated_at,timestamptz,NN,검증
sop_run,run_id,uuid,PK,실행
sop_run,sop_version_id,uuid,"FK,NN",고정 버전
sop_run,situation_id,uuid,"FK,NN",상황
sop_run,snapshot_id,uuid,"FK,NN",시작 Snapshot
sop_run,mode,varchar(20),NN,LIVE/DRY_RUN/EXERCISE
sop_run,status,varchar(20),NN,READY~TERMINATED
sop_run,started_by,uuid,"FK,NN",시작자
sop_run,started_at,timestamptz,NN,시작
sop_run,ended_at,timestamptz,-,종료
sop_run,correlation_id,varchar(80),NN,추적
task,task_id,uuid,PK,임무
task,run_id,uuid,"FK,NN",SOP 실행
task,node_id,uuid,"FK,NN",원본 노드
task,title,varchar(300),NN,임무명
task,status,varchar(30),NN,CREATED~CANCELLED
task,assignee_user_id,uuid,FK,담당자
task,assignee_org_id,uuid,FK,담당조직
task,due_at,timestamptz,-,기한
task,completion_policy_json,jsonb,NN,완료조건
task,progress_pct,"numeric(5,2)",NN,진행률
task,version_no,int,NN,낙관잠금
task,created_at,timestamptz,NN,생성
task_event,task_event_id,uuid,PK,Task Event
task_event,task_id,uuid,"FK,NN",임무
task_event,event_type,varchar(40),NN,DISPATCHED/ACK/...
task_event,event_time,timestamptz,NN,업무시각
task_event,actor_id,uuid,FK,행위자
task_event,payload_json,jsonb,NN,내용
task_event,correlation_id,varchar(80),NN,추적
task_event,created_at,timestamptz,NN,기록
task_attachment,task_attachment_id,uuid,PK,첨부
task_attachment,task_id,uuid,"FK,NN",임무
task_attachment,file_id,uuid,"FK,NN",파일
task_attachment,category,varchar(30),NN,PHOTO/DOC/VIDEO
task_attachment,caption,varchar(500),-,설명
task_attachment,geo_json,jsonb,-,위치
task_attachment,captured_at,timestamptz,-,촬영
task_attachment,uploaded_by,uuid,"FK,NN",등록자
dispatch,dispatch_id,uuid,PK,전파
dispatch,task_id,uuid,FK,임무
dispatch,situation_id,uuid,"FK,NN",상황
dispatch,message_type,varchar(30),NN,SITUATION/TASK/ESCALATION
dispatch,message_body,text,NN,내용
dispatch,status,varchar(20),NN,PENDING~PARTIAL
dispatch,created_by,uuid,"FK,NN",발신자
dispatch,created_at,timestamptz,NN,생성
dispatch_recipient,recipient_id,uuid,PK,수신자
dispatch_recipient,dispatch_id,uuid,"FK,NN",전파
dispatch_recipient,user_id,uuid,FK,사용자
dispatch_recipient,organization_id,uuid,FK,조직
dispatch_recipient,channel,varchar(20),NN,SYSTEM/SMS/EMAIL/PUSH
dispatch_recipient,address_enc,bytea,-,암호화 주소
dispatch_recipient,delivery_status,varchar(20),NN,PENDING~FAILED
dispatch_recipient,acknowledged_at,timestamptz,-,수신확인
execution_event,execution_event_id,uuid,PK,사실원장 Event
execution_event,tenant_id,uuid,"FK,NN",기관
execution_event,situation_id,uuid,"FK,NN",상황
execution_event,aggregate_type,varchar(30),NN,TASK/SOP/DISPATCH/...
execution_event,aggregate_id,uuid,NN,대상
execution_event,event_type,varchar(50),NN,종류
execution_event,occurred_at,timestamptz,NN,업무시각
execution_event,recorded_at,timestamptz,NN,기록시각
execution_event,actor_id,uuid,FK,행위자
execution_event,payload_json,jsonb,NN,내용
execution_event,corrects_event_id,uuid,FK,정정대상
execution_event,correlation_id,varchar(80),NN,추적
execution_event,event_hash,char(64),NN,위변조검증
outbox_message,outbox_id,uuid,PK,Outbox
outbox_message,tenant_id,uuid,"FK,NN",기관
outbox_message,aggregate_type,varchar(30),NN,대상
outbox_message,aggregate_id,uuid,NN,대상 ID
outbox_message,event_type,varchar(50),NN,발송종류
outbox_message,payload_json,jsonb,NN,메시지
outbox_message,channel,varchar(20),NN,채널
outbox_message,status,varchar(20),NN,PENDING~DEAD
outbox_message,attempt_count,int,NN,시도
outbox_message,next_attempt_at,timestamptz,-,다음시도
outbox_message,idempotency_key,varchar(100),NN,멱등키
outbox_message,created_at,timestamptz,NN,생성
outbox_attempt,attempt_id,uuid,PK,발송시도
outbox_attempt,outbox_id,uuid,"FK,NN",Outbox
outbox_attempt,attempt_no,int,NN,순번
outbox_attempt,started_at,timestamptz,NN,시작
outbox_attempt,finished_at,timestamptz,-,종료
outbox_attempt,result_status,varchar(20),NN,SUCCESS/RETRY/FAIL
outbox_attempt,provider_message_id,varchar(150),-,외부 ID
outbox_attempt,response_json,jsonb,-,응답
outbox_attempt,error_json,jsonb,-,오류
journal,journal_id,uuid,PK,상황일지
journal,situation_id,uuid,"FK,NN",상황
journal,snapshot_id,uuid,"FK,NN",기준 Snapshot
journal,document_id,uuid,"FK,NN",rhwp 문서
journal,period_start,timestamptz,NN,시작
journal,period_end,timestamptz,NN,종료
journal,status,varchar(20),NN,CONFIGURING~APPROVED
journal,projection_hash,char(64),NN,Projection 해시
journal,created_by,uuid,"FK,NN",생성자
journal,created_at,timestamptz,NN,생성
journal_projection_item,projection_item_id,uuid,PK,투영항목
journal_projection_item,journal_id,uuid,"FK,NN",일지
journal_projection_item,section_key,varchar(80),NN,섹션
journal_projection_item,source_event_ids,uuid[]/jsonb,NN,근거 Event
journal_projection_item,fact_payload_json,jsonb,NN,잠금 사실값
journal_projection_item,narrative_text,text,-,서술
journal_projection_item,sort_order,int,NN,정렬
journal_projection_item,locked_fields_json,jsonb,NN,잠금필드
evaluation,evaluation_id,uuid,PK,평가
evaluation,situation_id,uuid,"FK,NN",훈련
evaluation,status,varchar(20),NN,OPEN~CLOSED
evaluation,evaluation_type,varchar(30),NN,EXERCISE/USABILITY
evaluation,overall_score,"numeric(6,2)",-,종합점수
evaluation,summary,text,-,종합의견
evaluation,created_by,uuid,"FK,NN",평가자
evaluation,created_at,timestamptz,NN,생성
evaluation_score,score_id,uuid,PK,평가점수
evaluation_score,evaluation_id,uuid,"FK,NN",평가
evaluation_score,criterion_code,varchar(60),NN,지표
evaluation_score,score_value,"numeric(6,2)",NN,점수
evaluation_score,weight_value,"numeric(6,3)",NN,가중치
evaluation_score,comment,text,-,의견
evaluation_score,evidence_event_ids,uuid[]/jsonb,-,근거
improvement_action,action_id,uuid,PK,개선조치
improvement_action,evaluation_id,uuid,"FK,NN",평가
improvement_action,action_text,text,NN,조치
improvement_action,owner_user_id,uuid,FK,담당
improvement_action,due_at,timestamptz,-,기한
improvement_action,status,varchar(20),NN,OPEN~CLOSED
improvement_action,target_type,varchar(30),-,PLAN/SOP/SYSTEM
improvement_action,target_id,uuid,-,환류대상
provider_config,provider_config_id,uuid,PK,Provider 설정
provider_config,tenant_id,uuid,FK,기관별 Override
provider_config,provider_code,varchar(30),NN,T3Q/UNI/KMA/...
provider_config,enabled,boolean,NN,활성
provider_config,priority_no,int,NN,우선순위
provider_config,base_url,varchar(500),-,URL
provider_config,credential_ref,varchar(300),-,Vault 참조
provider_config,timeout_json,jsonb,NN,Timeout
provider_config,feature_flags_json,jsonb,NN,Flag
provider_config,version_no,int,NN,버전
audit_log,audit_id,uuid,PK,감사
audit_log,tenant_id,uuid,"FK,NN",기관
audit_log,actor_id,uuid,FK,행위자
audit_log,action,varchar(80),NN,행위
audit_log,resource_type,varchar(40),NN,자원
audit_log,resource_id,uuid,-,대상
audit_log,before_json,jsonb,-,변경전
audit_log,after_json,jsonb,-,변경후
audit_log,correlation_id,varchar(80),NN,추적
audit_log,ip_address,inet,-,IP
audit_log,user_agent,text,-,UA
audit_log,occurred_at,timestamptz,NN,시각
retention_policy,retention_policy_id,uuid,PK,보존정책
retention_policy,tenant_id,uuid,FK,기관
retention_policy,resource_type,varchar(40),NN,자원
retention_policy,retention_days,int,NN,일수
retention_policy,archive_strategy,varchar(30),NN,OBJECT_STORAGE/DB_ARCHIVE
retention_policy,legal_hold_enabled,boolean,NN,법적보존
retention_policy,version_no,int,NN,버전
retention_policy,updated_by,uuid,"FK,NN",수정자
notification,notification_id,uuid,PK,알림
notification,tenant_id,uuid,"FK,NN",기관
notification,user_id,uuid,"FK,NN",수신자
notification,notification_type,varchar(40),NN,종류
notification,severity,varchar(20),NN,INFO/WARN/CRITICAL
notification,title,varchar(300),NN,제목
notification,body,text,NN,내용
notification,action_url,varchar(700),-,조치링크
notification,read_at,timestamptz,-,읽음
notification,created_at,timestamptz,NN,생성
